x	pN	pS
0.054	1018	2477
0.062	865	2053
0.069	746	1879
0.077	620	1710
0.085	578	1528
0.092	466	1389
0.100	445	1352
0.108	412	1231
0.115	360	1207
0.123	338	1059
0.131	294	1097
0.138	299	987
0.146	291	969
0.154	235	953
0.162	227	934
0.169	262	887
0.177	241	822
0.185	211	845
0.192	232	734
0.200	214	755
0.208	196	720
0.215	183	730
0.223	166	675
0.231	126	642
0.238	177	626
0.246	159	657
0.254	159	613
0.262	139	562
0.269	124	654
0.277	132	560
0.285	139	583
0.292	126	616
0.300	127	552
0.308	111	559
0.315	112	572
0.323	132	524
0.331	95	512
0.338	130	504
0.346	114	498
0.354	111	505
0.362	116	518
0.369	85	485
0.377	107	444
0.385	96	471
0.392	85	462
0.400	89	448
0.408	91	422
0.415	77	435
0.423	99	450
0.431	94	476
0.438	78	444
0.446	94	457
0.454	94	414
0.462	101	394
0.469	90	400
0.477	88	433
0.485	102	438
0.492	67	379
0.500	84	427
0.508	67	420
0.515	68	404
0.523	84	379
0.531	60	392
0.538	73	403
0.546	79	414
0.554	65	377
0.562	57	358
0.569	73	400
0.577	69	395
0.585	84	374
0.592	67	381
0.600	69	361
0.608	75	381
0.615	78	376
0.623	75	388
0.631	64	384
0.638	80	386
0.646	70	394
0.654	53	364
0.662	56	350
0.669	74	391
0.677	67	360
0.685	72	352
0.692	59	359
0.700	55	360
0.708	58	371
0.715	54	376
0.723	74	343
0.731	59	332
0.738	57	354
0.746	46	362
0.754	54	366
0.762	47	331
0.769	62	377
0.777	52	346
0.785	68	372
0.792	67	338
0.800	55	354
0.808	59	395
0.815	63	405
0.823	65	393
0.831	68	363
0.838	61	358
0.846	58	384
0.854	65	376
0.862	61	369
0.869	73	407
0.877	45	420
0.885	68	380
0.892	72	436
0.900	71	425
0.908	66	423
0.915	78	426
0.923	73	451
0.931	75	473
0.938	97	508
0.946	84	577
